Пол,Возраст,1. Какие факторы мотивируют вас сдавать кровь?,2. Что для вас наиболее важно в процессе донорства?,3. Какие преимущества вы бы хотели получать как донор?,"4. Есть ли у вас какие-либо опасения или страхи, связанные с процессом сдачи крови?",5. Используете ли вы когда-либо приложения для доноров?,6. Какие функции мобильного приложения или веб-сайта для доноров вы бы хотели использовать?,7. Какой информацией вы бы хотели быть обеспечены перед сдачей крови?
М,22,"Желание помочь другим, Получение наград или привилегий, Чувство социальной ответственности","Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед долгими ожиданиями или очередями","Да, иногда","Личное портфолио с данными о количестве сдач крови, Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Рекомендации по восстановлению после сдачи крови
Ж,21,"Моральное удовлетворение, Признание в обществе","Удобное местоположение пункта сдачи крови, Информация о том, как моя кровь поможет людям, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Запись на сдачу крови в удобное время, Календарь донорских акций и мероприятий, Истории успешных случаев и отзывы от других доноров",Расписание работы пунктов сдачи крови
Ж,25,"Признание в обществе, Чувство социальной ответственности","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Участие в закрытых мероприятиях и акциях для доноров, Возможность участвовать в просветительских акциях","Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови",Другое (указать)
Ж,20,"Желание помочь другим, Получение наград или привилегий","Профессионализм и доброжелательность персонала, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Информация о процессе сдачи крови (как проходит процедура), Детали о возможных побочных эффектах и их предупреждении"
М,21,"Желание помочь другим, Личный опыт (например, спасение близкого человека)","Быстрое и комфортное оформление, Возможность записи на сдачу крови заранее","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Опасения по поводу недостаточного питания или гидратации после сдачи крови, Неуверенность в том, что кровь действительно нужна",Не знаю о таких приложениях,"Просмотр информации о том, как именно моя кровь помогла другим, Истории успешных случаев и отзывы от других доноров",Статистика о дефиците групп крови и актуальности сдачи
Ж,19,"Желание помочь другим, Моральное удовлетворение","Процесс сдачи крови без боли, Минимальное время ожидания, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх уколов, Боязнь боли",Не знаю о таких приложениях,"Напоминания о следующей сдаче крови, Календарь донорских акций и мероприятий, Вопросы и ответы, которые могут помочь новичкам","Пояснения о том, как моя кровь поможет пациентам"
М,19,"Желание помочь другим, Признание в обществе, Благодарность от медицинских учреждений","Процесс сдачи крови без боли, Доступность информации о процессе сдачи крови, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)","Да, иногда","Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней), Просмотр информации о том, как именно моя кровь помогла другим",Рекомендации по восстановлению после сдачи крови
Ж,24,"Желание помочь другим, Чувство социальной ответственности","Быстрое и комфортное оформление, Профессионализм и доброжелательность персонала, Минимальное время ожидания","Награды за количество сдач (например, подарки, сертификаты), Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)","Да, иногда","Информация о пунктах сдачи крови поблизости, Вопросы и ответы, которые могут помочь новичкам","Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
М,19,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли, Наличие дополнительных услуг (например, чай или угощения после сдачи)","Бесплатные медицинские обследования, Возможность участвовать в просветительских акциях, Специальные медали, сертификаты или значки для донора","Боязнь боли, Недостаток информации о процессе, Неуверенность в том, что кровь действительно нужна",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим","Пояснения о том, как моя кровь поможет пациентам"
Ж,19,"Желание помочь другим, Получение наград или привилегий","Чистота и удобство помещения, Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)","Нет, никогда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Информация о пунктах сдачи крови поблизости, Просмотр информации о том, как именно моя кровь помогла другим","Детали о возможных побочных эффектах и их предупреждении, Статистика о дефиците групп крови и актуальности сдачи"
Ж,18,"Желание помочь другим, Личный опыт (например, спасение близкого человека)","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы), Другое (указать)","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Информация о пунктах сдачи крови поблизости",Истории доноров и положительные примеры
Ж,24,"Желание помочь другим, Признание в обществе, Другое (указать)","Профессионализм и доброжелательность персонала, Доступность информации о процессе сдачи крови","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты), Скидки и акции от партнеров (например, кафе, магазины)","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать","Да, регулярно","Запись на сдачу крови в удобное время, Отслеживание прогресса и достижений (например, количество спасенных жизней), Просмотр информации о том, как именно моя кровь помогла другим","Расписание работы пунктов сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
Ж,24,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Возможность записи на сдачу крови заранее, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты)","Страх уколов, Боязнь боли, Опасения по поводу безопасности (например, стерильность инструментов)","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Просмотр информации о том, как именно моя кровь помогла другим",Другое (указать)
Ж,18,"Благодарность от медицинских учреждений, Получение наград или привилегий","Процесс сдачи крови без боли, Доступность информации о процессе сдачи крови, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Просмотр информации о том, как именно моя кровь помогла другим, Вопросы и ответы, которые могут помочь новичкам","Информация о процессе сдачи крови (как проходит процедура), Детали о возможных побочных эффектах и их предупреждении"
М,23,"Моральное удовлетворение, Признание в обществе","Профессионализм и доброжелательность персонала, Минимальное время ожидания","Бесплатные медицинские обследования, Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Боязнь боли, Неуверенность в том, что кровь действительно нужна",Не знаю о таких приложениях,"Календарь донорских акций и мероприятий, Просмотр информации о том, как именно моя кровь помогла другим",Статистика о дефиците групп крови и актуальности сдачи
Ж,19,"Желание помочь другим, Чувство социальной ответственности","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала, Чистота и удобство помещения","Бесплатные медицинские обследования, Участие в закрытых мероприятиях и акциях для доноров, Мотивационные программы (например, баллы, которые можно обменять на призы)","Страх перед возможными побочными эффектами (например, головокружение), Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Напоминания о следующей сдаче крови, Календарь донорских акций и мероприятий","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
М,21,"Моральное удовлетворение, Другое (указать)","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты)","Страх уколов, Боязнь боли",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Личное портфолио с данными о количестве сдач крови",Контактные данные для обратной связи с медицинским учреждением
Ж,21,"Желание помочь другим, Признание в обществе","Возможность записи на сдачу крови заранее, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Скидки и акции от партнеров (например, кафе, магазины)","Боязнь боли, Опасения по поводу безопасности (например, стерильность инструментов), Неуверенность в том, что кровь действительно нужна","Да, иногда","Отслеживание прогресса и достижений (например, количество спасенных жизней), Календарь донорских акций и мероприятий, Истории успешных случаев и отзывы от других доноров","Информация о процессе сдачи крови (как проходит процедура), Рекомендации по подготовке к сдаче (например, что и когда нужно есть/пить)"
М,18,"Моральное удовлетворение, Благодарность от медицинских учреждений","Чистота и удобство помещения, Информация о том, как моя кровь поможет людям","Бесплатные медицинские обследования, Награды за количество сдач (например, подарки, сертификаты)","Страх уколов, Боязнь боли",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней)","Пояснения о том, как моя кровь поможет пациентам, Информация о безопасности сдачи крови"
М,22,"Желание помочь другим, Признание в обществе","Профессионализм и доброжелательность персонала, Возможность записи на сдачу крови заранее","Мотивационные программы (например, баллы, которые можно обменять на призы), Возможность участвовать в просветительских акциях, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение), Опасения по поводу безопасности (например, стерильность инструментов)","Нет, но планирую начать","Запись на сдачу крови в удобное время, Истории успешных случаев и отзывы от других доноров",Детали о возможных побочных эффектах и их предупреждении
М,24,"Желание помочь другим, Получение наград или привилегий","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала, Возможность записи на сдачу крови заранее","Бесплатные медицинские обследования, Возможность участвовать в просветительских акциях","Страх уколов, Страх, что после сдачи крови буду плохо себя чувствовать","Да, иногда","Запись на сдачу крови в удобное время, Просмотр информации о том, как именно моя кровь помогла другим","Рекомендации по восстановлению после сдачи крови, Истории доноров и положительные примеры"
Ж,18,"Желание помочь другим, Чувство социальной ответственности","Быстрое и комфортное оформление, Профессионализм и доброжелательность персонала","Мотивационные программы (например, баллы, которые можно обменять на призы), Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Отслеживание прогресса и достижений (например, количество спасенных жизней), Информация о пунктах сдачи крови поблизости, Просмотр информации о том, как именно моя кровь помогла другим",Контактные данные для обратной связи с медицинским учреждением
Ж,24,"Желание помочь другим, Признание в обществе","Удобное местоположение пункта сдачи крови, Чистота и удобство помещения, Информация о том, как моя кровь поможет людям","Мотивационные программы (например, баллы, которые можно обменять на призы), Возможность участвовать в просветительских акциях","Страх уколов, Страх перед долгими ожиданиями или очередями","Нет, не вижу в этом необходимости","Уведомления о потребности в моей группе крови, Напоминания о следующей сдаче крови",Другое (указать)
Ж,20,"Желание помочь другим, Получение наград или привилегий","Удобное местоположение пункта сдачи крови, Профессионализм и доброжелательность персонала, Процесс сдачи крови без боли","Бесплатные медицинские обследования, Возможность участвовать в просветительских акциях, Специальные медали, сертификаты или значки для донора","Страх уколов, Страх перед возможными побочными эффектами (например, головокружение)","Да, регулярно","Уведомления о потребности в моей группе крови, Напоминания о следующей сдаче крови, Интерактивные карты с маршрутами к пунктам сдачи","Информация о процессе сдачи крови (как проходит процедура), Детали о возможных побочных эффектах и их предупреждении"
М,19,"Желание помочь другим, Получение наград или привилегий","Процесс сдачи крови без боли, Информация о том, как моя кровь поможет людям","Скидки и акции от партнеров (например, кафе, магазины), Мотивационные программы (например, баллы, которые можно обменять на призы)","Недостаток информации о процессе, Страх перед долгими ожиданиями или очередями","Нет, не вижу в этом необходимости","Запись на сдачу крови в удобное время, Отслеживание прогресса и достижений (например, количество спасенных жизней), Календарь донорских акций и мероприятий",Статистика о дефиците групп крови и актуальности сдачи
Ж,24,"Желание помочь другим, Признание в обществе, Получение наград или привилегий","Информация о том, как моя кровь поможет людям, Преимущества для регулярных доноров (например, бесплатные медосмотры)","Бесплатные медицинские обследования, Специальные медали, сертификаты или значки для донора","Боязнь боли, Страх, что после сдачи крови буду плохо себя чувствовать",Не знаю о таких приложениях,"Уведомления о потребности в моей группе крови, Отслеживание прогресса и достижений (например, количество спасенных жизней)","Пояснения о том, как моя кровь поможет пациентам"
М,20,"Моральное удовлетворение, Признание в обществе, Личный опыт (например, спасение близкого человека)","Процесс сдачи крови без боли, Наличие дополнительных услуг (например, чай или угощения после сдачи), Информация о том, как моя кровь поможет людям","Участие в закрытых мероприятиях и акциях для доноров, Специальные медали, сертификаты или значки для донора","Страх уколов, Боязнь боли, Страх перед возможными побочными эффектами (например, головокружение)",Не знаю о таких приложениях,"Запись на сдачу крови в удобное время, Личное портфолио с данными о количестве сдач крови","Рекомендации по восстановлению после сдачи крови, Контактные данные для обратной связи с медицинским учреждением"
